canonical_name,level,parent,aliases
Naya 3,property,"District One, Mohammed Bin Rashid City, Dubai","naya3, naya iii, naya three, d1 naya 3, d1 naya, mbrm naya 3, mbrc naya 3, dist 1 naya, district one naya 3, naya3 d1, naya3 mbrc, naya iii d1, naya three d1, nayaa 3, naya 33, naya 3 property, naya 3 dxb, naya phase 3, naya-3, naya-iii"
Naya at District One,property,"District One, Mohammed Bin Rashid City, Dubai","naya d1, naya d 1, naya district1, d1 naya, d1 naya residences, naya mbr, naya mbrc, naya mbr city, naya district one, nayad1, naya d-1, naya residence d1, naya at d1, naya at d one, naya d one, naya districtone"
Nineteen Riviera Lagoon,property,"District 11, Mohammed Bin Rashid City, Dubai","19riviera, 19rivieralagoon, 19rl, 19rlagoon, nineteennriviera, ninteenriviera, ninetinriviera, d11nineteen, mrbcnineteen, mrbc19, dist11nineteen, 19rivieradist11, nineteenriviera11, 19rivierad11, 19rv, nineteennrivieralagoon, 19rivieralagoonmrbc"
Ocean Point 1,property,"Ocean Point, Mina Rashid, Dubai","op1, oceanpt1, oceanpointone, op 1, ocean pt 1, oceanpt 1, minarashid ocean point 1, ocean point mina rashid 1, oceanpoint, oceanpoint1, opone, ocean pnt 1, ocn pt 1, ocnpt1, ocean point one, ocean point i, ocean point 01, op-1"
Ocean Point 2,property,"Ocean Point, Mina Rashid, Dubai","op2, oceanpoint2, opii, oceanpt2, optwo, ocnpt2, oceanpointii, op 2, ocean point ii, opii mina rashid, ocean point 2 dubai, oceanpt ii, op 2 mina rashid, oceanpnt2, oceanpointtwo, opmina, oceanpttwo, op2 mr"
Olivara Residences 1,property,"Olivara Residences, Dubai Studio City, Dubai","olivara1, olivara res 1, olivara res one, olivara residence 1, olivar residences 1, olivara studio city, olivara dsc, dsc olivara, olivara 1 dsc, olivararesidences1, olivara1dsc, olvara 1, olivar 1, olivari 1, olivara r1, olivara resi 1"
Olivara Residences 2,property,"Olivara Residences, Dubai Studio City, Dubai","olivarares2, olivara res 2, olivararesidences2, olivara 2, olivara studio city 2, olivarra 2, olivara residences two, olivarares, olivarares 2, olivararesidences ii, olivera 2, oliveraresidences2, olivarares2 dsc, olivara studio 2, olivara 2 dsc"
Olivara Residences 3,property,"Olivara Residences, Dubai Studio City, Dubai","olivara3, olivara res 3, olivara resi 3, olivara residence 3, olivara 3 studio city, olivara studio city 3, olivarares 3, olivararesidences3, olvara 3, olivar 3, olvira 3, olviara 3, olivara resiii, olivara residence iii"
Olivara Residences 4,property,"Olivara Residences, Dubai Studio City, Dubai","olivara 4, olivara res 4, olivara res 4 dubai studio city, olivara residences iv, olvara 4, olivara4, olvara residences 4, studio city olivara 4, olivara res four, olivar residences 4, olivara residencies 4, olivara 4 dsc, dsc olivara 4, olivera 4, olivaraa 4, olivara4residences, olivara r 4"
One Park Avenue,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","1pa, 1 park avenue, one park ave, oneparkavenue, op, opa, sobha 1pa, sobha one park, 1pa hartland, hartland 1pa, one park hartland, 1 park ave hartland, oneparkave, 1parkavenue, 1parkave, one park av, op hartland, sobha 1 park avenue"
One Za'abeel,property,"Zabeel 1, Zabeel, Dubai","1zaabeel, onezabeel, 1zabeel, onezaabel, oz, one zaabel, 1 zaabeel, zabeel one, 1z, onez, one zaabil, 1 zaabil, 1zabl, 1zab, onezabl, zaabeel 1, zabeel1, onezaable, oz1, oz 1"
Opal Gardens,property,"District 11, Mohammed Bin Rashid City, Dubai","og, opal, opal gdns, opalgardens, d11 opal, opal d11, mbrc opal, opal mbrc, opel gardens, opal garden, opall gardens, opalgardn, opalgdns, d11og, ogd11"
Park Field Tower 1,property,"Park Field, Dubai Hills Estate, Dubai","pf t1, parkfield t1, park field 1, pf tower 1, parkfield tower 1, parkfield t 1, pf1, pft1, park field t1, parkfield1, parkfield tower one, park field tower one, parkfiel t1, parkfeild t1, parkfieldt1, dhe park field t1, park field dhe t1, parkfield dhe t1"
Park Field Tower 2,property,"Park Field, Dubai Hills Estate, Dubai","pf2, parkfield 2, park field t2, pk field 2, parkfieldt2, parkfield tower2, d hills parkfield 2, park field d hills 2, parkfeild 2, parkfiel 2, parkfielddhe 2, parkfield towerr 2, pf tower 2, park fieldt 2"
Park Heights 1,property,"Park Heights, Dubai Hills Estate, Dubai","ph1, park heights one, ph 1, parkheights1, parkheights 1, park hgts 1, park hgts one, ph heights 1, parkhights 1, parkhieghts 1, park heights dubai hills 1, dh park heights 1, dhe park heights 1, parkheightsone, phone, park heights i, park heights 1st"
Park Heights 2,property,"Park Heights, Dubai Hills Estate, Dubai","ph2, parkh2, park heights ii, ph2 dhe, park heights 2 dhe, parkheights2, ph 2, park hts 2, park hts ii, parkhgt 2, park hieghts 2, park heigths 2, parkheights 2, dhe park heights 2, ph2 dubai hills, park heights two, ph two, park heights ii dhe"
Park Point Building A,property,"Park Point, Dubai Hills Estate, Dubai","pp a, park point a, pp building a, parkpoint a, parkpointa, park point bldg a, park point tower a, parkpoint building a, park point a dubai hills, dh park point a, ppa, park point a dh, parkpoint a dubai hills, park point a dxb, parkpointa dxb, park point a building, pp bldg a, park point a-a"
Park Point building B,property,"Park Point, Dubai Hills Estate, Dubai","pp b, pp building b, park point b, parkpoint b, parkpt b, park point bldg b, parkpointb, ppb, park point b building, park point buildingb, prk point b, park pnt b, park poimt b, park point bb, park point b-b"
Park Point Building C,property,"Park Point, Dubai Hills Estate, Dubai","ppc, park point c, park point bldg c, park point c building, dh park point c, pp building c, parkpoint c, parkpointc, park pt c, pk point c, park point c dubai hills, parkpoint building c, park point c bldg, pp c, park point c."
Park Point Building D,property,"Park Point, Dubai Hills Estate, Dubai","ppd, park point d, park point bldg d, park point build d, parkpointd, parkpoint building d, p.point d, parkpointdhe, park point dhe, dh park point d, pp building d, park point d dubai hills, parkpointd dubai hills, parkpnt d, parkpnt building d"
Park Ridge Tower C,property,"Park Ridge, Dubai Hills Estate, Dubai","pr c, pr tower c, parkridge c, prdhe, prdhe c, park ridge c, prt c, parkridgec, parkridge tower c, prdhec, pr ridge c, pr ridge tower c, prc, park ridge, parkridge, pr dhe, park ridge hills, park ridge dhe"
Quad Homes,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","qh, quad, quadhms, quadhomesdubai, quadsobha, quadhartland, quadmbr, qhsobhahartland, quadhome, quadhmes, quadhmssobha, qhsobha, quadhartlandhomes, quadhmsmbrc, quadhomesmbr"
Residence 25,property,"District One, Mohammed Bin Rashid City, Dubai","res25, res 25, r25, residence25, d1res25, d1 res 25, mbrc res 25, mbrc residence 25, res-25, resi 25, residance 25, residnce 25, resi25, dist 1 res 25, d1r25"
Residences 1,property,"District One, Mohammed Bin Rashid City, Dubai","res 1, res1, d1 res 1, d1res1, d1res, d1 residences 1, district one res 1, district one residences 1, mbrc res 1, mbrc res1, residencies 1, residance 1, residancy 1, resone, res-1"
Residences 11,property,"District One, Mohammed Bin Rashid City, Dubai","res11, residences11, d1 res11, d1 residences 11, district one res 11, d1r11, res 11 d1, residences eleven, res 11 mbrc, mbrc res 11, res11 d1, r11, residencesoneone, d1residences11, residence11, residences 11 d1, residences11 d1, res11 mbr, d1r 11"
Residences 12,property,"District One, Mohammed Bin Rashid City, Dubai","res12, res 12, resi 12, res-12, residences12, d1 res 12, district one res 12, d1r12, d1res12, mbrc res 12, resedences 12, resedence 12, residance 12, residencies 12, residens 12, residence12, resd 12, d1 residence 12, mbr city res 12, dist one res 12"
Residences 13,property,"District One, Mohammed Bin Rashid City, Dubai","res 13, res-13, d1 res 13, d1res13, d1r13, mbrc res 13, district one res 13, res13, res.13, residence 13, residencies 13, d1 residence 13, d1 residencies 13, resd 13, dist one res 13, mbrc r13, d1r 13, resi 13, d1res 13"
Residences 14,property,"District One, Mohammed Bin Rashid City, Dubai","res14, r14, residences14, res 14, d1 res 14, d1r14, d1res14, mbrc res 14, district one res 14, d1 residences 14, res-14, r-14, residances 14, residnce 14, residence14, d1r 14, residencies 14, mrbc res 14, dist 1 res 14, r-fourteen"
Residences 15,property,"District One, Mohammed Bin Rashid City, Dubai","res15, res 15, d1 res 15, d1 res15, district one res 15, district one residences 15, mbrc res 15, mbrc residences 15, residences15, resfifteen, res-15, d1 residences 15, d1 residences15, d1r15, res 15 d1, res 15 district one, res 15 mbrc, residence 15, resedences 15, residances 15, residens 15, r15, r 15, d1 r15, mbrc r15"
Residences 16,property,"District One, Mohammed Bin Rashid City, Dubai","res16, res 16, r16, d1 res 16, d1res16, district one res 16, mbrc res 16, residences16, resedences 16, residencies 16, resi 16, r 16, dist 1 res 16, res-16"
Residences 17,property,"District One, Mohammed Bin Rashid City, Dubai","res 17, res17, resid 17, residence 17, d1 res 17, d1 residences 17, mbrc res 17, district one res 17, resid17, res-17, res seventeen, d1 residences seventeen, d1r17, d1 res17, residencesseventeen, resss 17, residance 17, resedence 17, d1 residences17"
Residences 18,property,"District One, Mohammed Bin Rashid City, Dubai","res18, res 18, r18, resi18, residences18, d1 res 18, d1 resi 18, district one res 18, mbrc res 18, resid18, resindences18, residances18, resedences18, distone res 18, d1r18, res18d1, res18mbrc, res 18 d1, resid 18"
Residences 2,property,"District One, Mohammed Bin Rashid City, Dubai","res2, res 2, r2, d1r2, d1 res 2, dist 1 res 2, mbrc res 2, residence 2, residens 2, resedence 2, res2 d1, d1 resid 2, res2 mbrc, residence2, res2d1, d1res2, residences2, res 2 d1, res 2 mbrc, dist one res 2"
Residences 20,property,"District One, Mohammed Bin Rashid City, Dubai","res20, res 20, r20, d1 res 20, d1res20, district one res 20, mbrc res 20, residencies 20, residance 20, resd 20, res.20, d1 residences 20, d1 residence 20, district one residences 20, resi 20, res20 d1, res20 mbrc"
Residences 21,property,"District One, Mohammed Bin Rashid City, Dubai","res21, res 21, r21, residences21, district one res 21, d1 res 21, d1 residences 21, d1 residences21, mbrc res 21, residences-21, resi 21, res 21 district one, residencies 21, resedences 21, residence 21, d1 r21, d1 res21"
Residences 22,property,"District One, Mohammed Bin Rashid City, Dubai","res22, res 22, d1 res 22, d1 residences 22, district one res 22, mbrc res 22, residences22, residence 22, res22 d1, res 22 mbrc, residence22, r22, d1 r22, mbr r22, res 22 d1, res 22 dubai, residences 22 d1, d1 res22, resd 22, residence22 d1"
Residences 23,property,"District One, Mohammed Bin Rashid City, Dubai","res23, res 23, resd 23, r23, d1 res 23, d1res23, d1 resd 23, district one res 23, mbrc res 23, resd23, residences23, resid 23, resdences 23, resi 23, d1 residence 23, res 23 d1"
Residences 26,property,"District One, Mohammed Bin Rashid City, Dubai","res26, r26, d1res26, d1residences26, residencies26, resedences26, district1res26, mbrcres26, mbrcresidences26, res 26, res26d1, d1r26, residence26, ressidences26, dist1res26, d1residence26, resedence26"
Residences 28,property,"District One, Mohammed Bin Rashid City, Dubai","res28, r28, d1 res 28, d1 residences 28, d1res28, mbrc res 28, residences28, residencess 28, residdences 28, res 28 d1, d1 r28, district one res 28, district one r28, d1 residences28, mrbc res 28, res28 d1, residnce 28, residnce28, res-28, res 2-8"
Residences 29,property,"District One, Mohammed Bin Rashid City, Dubai","res29, r29, res 29, residences29, d1 res 29, d1 res29, mbrc res 29, dist1 res 29, d1 r29, mbrc r29, residencies 29, residance 29, resedence 29, resi 29, d1 residence 29, d1 residences29, district one res 29"
Residences 3,property,"District One, Mohammed Bin Rashid City, Dubai","res3, res 3, r3, d1 res 3, d1 residences 3, d1 r3, d1r3, district one res 3, mbrc res 3, d1 res3, resi 3, residences3, d1 residences3, resd 3, resid 3, dist 1 res 3, d1 resd 3, mbr city res 3"
Residences 30,property,"District One, Mohammed Bin Rashid City, Dubai","res30, res 30, r30, d1 res 30, d1 res30, d1res30, residences30, district one res 30, district one residences 30, mbrc res 30, mbr city res 30, res-30, res.30, residence 30, residencies 30, residance 30, resedence 30, d1r30, d1 residences 30"
Residences 4,property,"District One, Mohammed Bin Rashid City, Dubai","res 4, res4, resid 4, resid4, d1 res 4, d1 res4, district one res 4, district one resid 4, mbrc res 4, mbrc resid 4, d1 residences 4, residences4, res-4, resid-4, d1-res-4, mbr-res-4, residenes 4, residance 4, residenc 4, d1 resiv 4, districtone res 4"
Residences 5,property,"District One, Mohammed Bin Rashid City, Dubai","res5, res 5, r5, res-5, d1 res 5, d1 res5, d1r5, dist one res 5, district one res 5, mbrc res 5, resdences 5, residencs 5, residens 5, resdence 5, res 5 d1, res5 d1, res5 dxb, d1 residences 5, residance 5, resedence 5"
Residences 6,property,"District One, Mohammed Bin Rashid City, Dubai","res6, res 6, residences6, d1 res 6, d1 residences 6, d1 res6, mbrc res 6, mbrc res6, residencies 6, resedences 6, residance 6, res 6 d1, d1r6, d1 residences6, district one res 6, d one res 6, d1 residence 6, ressi 6, res-6"
Residences 7,property,"District One, Mohammed Bin Rashid City, Dubai","res7, res 7, r7, resseven, resid 7, d1 res 7, d1 res7, d1 r7, mbrc res 7, mbrc res7, residencies 7, residencies7, res-7, res seven, d1 residences 7, residencs 7, residance 7, residenc 7, d1r7, district one res 7, district one res7, mbr city res 7"
Rose,property,"Al Murooj Complex, Zabeel, Dubai","rose tower, rose murooj, rose zabeel, murooj rose, rose apt, rose bldg, rose res, rose dxb, rose complex, roze, rose resid, rose property, rosee, rse, murooj rose complex, rose zabeel 1, rose zabeel 2"
Seagate Building 1,property,"Seagate, Mina Rashid, Dubai","seagate 1, sg 1, sg1, seagate bldg 1, seagate b1, seagte 1, seagateone, mina rashid seagate 1, mr seagate 1, seagate mina rashid, sg bldg 1, seagateb1, seagatebuilding1, seegate 1, sgone, seagate bld 1"
Seagate Building 2,property,"Seagate, Mina Rashid, Dubai","sg2, seagate2, seagate bldg 2, sg bldg 2, seagate bld 2, sea gate 2, sg-2, seagte 2, segate 2, seagateii, seagate building ii, mina rashid sg2, sg mina rashid, seagate mina rashid 2, sg2 mina, seagate bldg2, sg bld2, seagate2 mina rashid, sg 2, seagate 02"
Seagate Building 3,property,"Seagate, Mina Rashid, Dubai","sg3, seagate3, seagate b3, seagate bldg 3, sg bldg 3, sea gate 3, sea gate b3, seagateb3, sg-3, seagate building three, seagate bld 3, segate 3, seagate 3 mina rashid, mina rashid seagate 3, mr seagate 3, seagate three, sg three, sg b3, seagate bldg3"
Seagate Building 4,property,"Seagate, Mina Rashid, Dubai","sg4, seagate 4, seagate bldg 4, seagate b4, mina rashid sg4, sg bldg 4, seagateb4, segate 4, seagatefour, seagate bld 4, sg four, seagate b4 mina rashid, seagate bldg4"
Seagull Point Tower,property,"District One, Mohammed Bin Rashid City, Dubai","seagull pt, seagull pnt, sgl point, sgl pt, seagul point, seagullpoint, d1 seagull, d1 seagull point, mbrc seagull, mbrc seagull point, seagull point d1, seagull point mbrc, sgull point, seagullpnt, seagul pt, segull point, sglpnt"
Senses at the Fields,property,"District 11, Mohammed Bin Rashid City, Dubai","senses, senses fields, senses at fields, the fields senses, senses mbrc, senses d11, senses district 11, senses mbd, senses mb rcity, senses dubai, sensesthefields, sensfields, sensesfield, senss, sences, sences at the fields, sences fields, senss at the fields, senses mbr, senses mbr city, d11 senses, mbrc senses"
Sidra Villas I,property,"Sidra Villas, Dubai Hills Estate, Dubai","sidra, sidra 1, sidra villas 1, sidra v1, sidravillas1, sv1, sdra, sidra phase 1, dhe sidra, sidra dhe, sidra estate, sidra 1 villas, sidravillas i, sidra i, siddra, sidra1, sidraone, sidrav1, sidra villa 1"
Sidra Villas II,property,"Sidra Villas, Dubai Hills Estate, Dubai","sidra 2, sidra villas 2, sidra ii, sidra2, sidravillas2, sidra 2 dhe, dhe sidra 2, sidra villa 2, sidraii, sidra vilas 2, sidra v2, sidra v 2, sidra2dhe, sidra two, sidra ii dubai hills, sidra 2 dubai hills, s2, s2 dhe"
Sidra Villas III,property,"Sidra Villas, Dubai Hills Estate, Dubai","sidra3, sidra iii, sidra villa 3, sidra villas 3, sidra3 dhe, sidra iii dhe, sidra villa iii, sidra villa 3 dhe, sidra 3 dubai hills, sidravillas3, sidravillasiii, sidra3villas, sd3, sidra iii dubai hills, sidra vills 3, sidra vilas 3, sidra 3 villas, s3 dhe, sidra3dhe, sidra iii estates"
Skyscape Avenue,property,"Sobha Hartland II, Mohammed Bin Rashid City, Dubai","skyscape, skyscape ave, skyscape av, skyscape avn, skyscape avue, skyscapeave, skyscapeavenue, skyscape2, skyscape 2, hartland skyscape, sobha skyscape, mbrc skyscape, skyscape hartland, skyscape sobha, skyscape mbrc, skyscap ave, skyscap avenue, skyscpe avenue, skyscapee avenue, sky scape avenue, skyscape avnue, skyscapavenue"
Sobha Creek Vista Heights,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sch, creek vista, vista heights, sobha heights, scvh, sobha creek vista, creek vista heights sobha, hartland vista, sobha hartland heights, sobha creek, creek vista height, sch heights, sobha vista, vista heights sobha, creek vista heights, sobha creek vista hts, scv heights, sobha creek vh, sobha hartland creek vista, sobha heights hartland"
Sobha Creek Vistas Grande,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","scvg, sobha creek vistas, creek vistas grande, vistas grande, scv grande, sobha hartland vistas, hartland vistas, scvgrande, sobhacreekvistasgrande, scvggrande, sobha creek vista, creek vista grande, sobha vista grande, scv g, sobha creek vistas g, hartland creek vistas, sobha creek vista grande, scvg hartland, creek vista g, sobha creek vista g"
Sobha Creek Vistas Reserve,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","scvr, creek vistas reserve, hartland creek vistas, sobha creek, creek vistas, creek vista, scv, creek reserve, sobha creek vista, sobha creek vistas, hartland creek vista, creekvistas, creekvistasreserve, sobhacreekvistas, sobhacreek, sobhacreekreserve, creek vistas res, creek vista reserve, hartland scvr, scv reserve, sc vistas, creek vistasr, creekvistarreserve, sobhacreekvista, sobhacreekvistasreserve"
Sobha Creek Vistas Tower A,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobhacreek, scv, scv tower a, scva, sobhacreekvistas, sobha creek vista, sobhacreekvista, scv a, sobha hartland creek vistas, sh creek vistas, sobha vista, sobhacreekvistas a, sobha crk vistas, scvta, sobha creek vista a, sobha hartland scv, sobhacreekvistas tower a, scv tower, sobha creek tower a, sobha creak vistas, sobha creek vistas a, sobhacreek vistas, sobha hartland vista, sobha vistsa, sobhacreekvistas tower, sobhacreekvista a"
Sobha Creek Vistas Tower B,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha creek, scv, scv b, sobha vista, sobha vistas, creek vistas b, sobha hartland creek, sh creek vistas, sobha creek vista, sobhacreek, scvb, sobha creek b, creek vistas tower b, hartland creek vistas, sobha crek, sobha vista b, creekvistasb, sobhacreekvistas, scv tower b, sobha hartland scv"
Sobha Estates Villas,property,"Sobha Hartland II, Mohammed Bin Rashid City, Dubai","sobha estates, se villas, sobha est, sobha hartland 2 estates, sobha hartland ii estates, sh2 estates, sobha estates hartland, sobhaestates, sobha estates 2, sobha estates ii, sobha hartland estates, sh2 villas, sobha est villas, sobha estates mbr, sobha estate, sobha villas hartland, sh ii estates, sobhaestatesvillas, sobha hartland 2 villas"
Sobha Hartland Estates-Townhouses,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha hartland th, sobha th, sh estates, sobha townhouses, sobha hartland townhouses, sh townhouses, sobha hartland ths, sh th, sobha hartland twnhs, sobha hartland t-houses, sobha town homes, sobha hartland town homes, sobha townhouses mbrc, mbrc sobha townhouses, sobha ths, sobha hartland thouses, sobha hartland townhous, sh town house, sobha hartland townh, sh townhouses mbrc"
Sobha Hartland Villas - Phase II,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","shv, shv2, sobha hartland 2, hartland villas 2, shv phase 2, hartland phase 2, sobha phase 2, shv ph2, hartland 2, sobha villa 2, shv phase ii, hartland villas phase 2, sobha hrtland 2, sobha hartlandvillas2, sh villas 2, sobha hartland phase 2, sobha hartland ph2, shv2 villas, sobha v2, shv phase two"
Sobha Hartland Villas - Phase III,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha hartland villas 3, shv3, hartland villas 3, sh hartland phase 3, shv phase 3, sobha villas 3, mrc hartland villas 3, hartland phase 3, sh villas 3, sobha hartland 3, sobha h villas 3, sh hartland villas, sobha hartlandvillas3, shv iii, sobha hartland phase iii, sobha villas phase 3, sh hartland v3, hartland villas iii, shv3 villas, sobha hartland v3"
Sobha Hartland Waves,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","shw, waves, waves sobha, sobha waves, sh waves, waves hartland, waves mbrc, hartland waves, sh hartland waves, shw hartland, waves property, waves tower, sobha wave, waves sobha hartland, wvs, shw sobha, waves mohammed bin rashid, waves mbr, sobhahartlandwaves, sobhawaves, hartlandwaves, wavessobha, shwhartland"
Sobha One,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha1, s1, sobhaone, s-one, sobha one hartland, sobha hartland one, sobha1 hartland, sobha one mbrc, sobha one mbr, s1 hartland, sobhaone hartland, sobhaone mbr, sobha one dubai, s one, sobha 1, sobhaone1, sobha1dubai, sobhaone dubai, shartland one, sobha one city"
Sobha one Tower A,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","s1, sobha 1, s1 tower a, s1twa, sobhaone, sobha 1 tower a, sobha one t-a, s-one, s1 hartland, sobha hartland s1, mbrc sobha one, sobha 1 mbrc, sobhaonea, sobha 1a, sobhaone tower, s1a, s-one tower a, sobhaoneta, sobhaone t-a, sobha one a, sobha onea, sobha 1 hartland, s1 hartland tower a, sobha one towera"
Sobha One Tower B,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha one b, sobha one towerb, sobha 1b, sobha 1 tower b, sobha one b hartland, sobha hartland one b, sobha oneb, sobhaoneb, s1b, s1 tower b, sobha one tower-b, sobha one towerbb, sobha one t b, sobha one b mbr, sobha one b dubai, sobha one-b, sobha one b tower, s one b, sobha one b tower b, sobha one b th, sobha one b t-b"
Sobha One Tower C,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha one c, sobha 1 c, s1c, sobhaone tower c, sobha one c tower, sobhaone c, s-one c, sobhaone towerc, sobha hartland one c, mbr city sobha one c, sobha hartland s1c, sobha one c hartland, sobha1c, sobha one c dubai, sobha one tower-c, sobha onec, sobha one c mbr, sobha 1 tower c"
Sobha One Tower D,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha one d, s1 tower d, s1 d, sobhaone d, sobha1 d, sobhaone towerd, sobha hartland one d, mbrc sobha one, sobha one hartland, sobha one mbrc, s1 hartland, sobha 1 tower d, sobha one d tower, sobhaone d tower, s1d, sobhaoned, sobha one towerd, shobha one d"
Sobha One Tower E,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","sobha one e, s1e, s1 tower e, sobha onee, sobhaonee, sobha one tower, sobha 1 e, sobha 1e, sobhaone, sobha 1, hartland sobha one e, mbr sobha one e, sobha hartland one e, sobha onee tower, sobhaone e, s1e tower, sobha onee t.e, sobha one e tower"
Sobha Skyscape Aura,property,"Sobha Hartland II, Mohammed Bin Rashid City, Dubai","skyscape aura, ssa, sobha aura, skyscape, skyscapeaura, ssa hartland, sobha hartland 2 aura, ssa mbri, skyscape aura hartland, skyscape aura 2, skyscap aura, sobha skyscape, ssa hartland 2, skyscapeaurahartland, hartland skyscape, ssa mbr, skyscape aoura, sobha aura 2, ssa hartland ii"
Socio Tower 1,property,"Socio Tower, Dubai Hills Estate, Dubai","socio1, socio t1, socio tower one, st1, s1, socio dubai hills, socio dhe, socio t 1, sociot1, socio towerr 1, socio twr 1, socio twr1, socio t-1, socio t1 tower, socio 1 dhe"
Socio Tower 2,property,"Socio Tower, Dubai Hills Estate, Dubai","socio t2, socio 2, soccio tower 2, socio tower two, socio t 2, st2, st 2, socio2, socio dhep, socio dhe, dhe socio 2, socio t-2, socio tower ii, socia tower 2, socio towers 2"
Soho The Berkeley,property,"Park Heights, Dubai Hills Estate, Dubai","soho berk, soho berkeley, soho park heights, soho dh, soho dhe, soho, berk soho, soho at park heights, soho dhills, soho berkeley park heights, soho berkly, soho berkley, soho parkheights, sohodhe, sohoberk, sohoberkeley, sohoh, park heights soho, dh soho, soho dxb hills"
Sunflower,property,"Al Murooj Complex, Zabeel, Dubai","sunflower al murooj, al murooj sunflower, sunflower zabeel, sunflower complex, sun flower, sunflwr, sunflower apts, sunflower bldg, sunflower resid, sunflower dubai, sunflover, sunflwer, sunflowerres, sunfloweralmurooj, almuroojsunflower"
The Crest,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","crest, thecrest, crest sobha, sobha crest, crest mrc, crest hartland, the crest hartland, crest sobha hartland, crest sobha city, crest mbr, crest mbrc, crest dubai, thecrestsobha, crestsobha, hartland crest, sobha crest hartland, cresth, crestsh, thecrestsh, crestsobhahartland"
The Crest Tower A,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","crest tower a, crest tower, crest a, crest, the crest, crest hartland, crest sobha, crest mbrc, crest mbr, crest tower a sobha, crest tower a hartland, crest a hartland, crest tower a mbr, cresttwr, cresttwra, crest a tower, the crest a, cresttower, cresttowera, crest sobha hartland, crest mbr city, crest a tower hartland, crest tower a dubai, crest tower a mbc"
The Crest Tower B,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","crest b, the crest b, crest tower b, crestb, thecrestb, sobha crest b, crest sobha, hartland crest b, crest mbr, mbr crest b, crest towerb, thecrest, crestb sobha, crest-b, crestb tower, crest hartland, crest mbrcity"
The Crest Tower C,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","crest c, crest tower c, the crest c, crest hartland, crest sobha, crest mbrc, crest tower c sobha, crestc, thecrestc, cresttwr, cresttfrc, cresttowerc, crst c, crest c sobha, crest tower c mbr, crestc sobha, crest c tower, crestc hartland, crest c mbrc, cresttowercsobha"
The Crest Tower D,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","crest tower d, crest d, crest d tower, sobha crest d, hartland crest d, crestd, crest tower d sobha, the crest d, crest tower, sobha crest, crest tower sobha, crestd sobha, mbrc crest d, crest d hartland, crest towerd, cresttwr d, crest towerr d, crest d mbrc"
The Fairway,property,"Dubai Hills, Dubai Hills Estate, Dubai","thefairway, fairway, fw, fw dh, fw dhe, the fairway dhe, the fairway dh, fairway dhe, fairway dh, the fair way, thefaryway, the fairwya, thefairwya, fairwya, dh fairway, dhe fairway"
The Fields,property,"District 11, Mohammed Bin Rashid City, Dubai","thefields, fields, thefields mbr, fields mbr, fields d11, d11 fields, mbr fields, the fields mbr, field, thefield, d11thefields, mbr city fields, fields mohammed bin rashid, fields district 11"
The Fields at D11 - MBRMC,property,"District 11, Mohammed Bin Rashid City, Dubai","the fields, fields d11, d11 fields, fields mbr, fields mbrc, fields mbr city, d11, thefields, fieldsd11, mbrc fields, mbr fields, field d11, d11field, mrbc fields, mbrc d11, fields mb r, fields d-11, the fields d11"
The Hartland Villas,property,"Sobha Hartland, Mohammed Bin Rashid City, Dubai","hartland villas, shv, sh villas, sobha hartland villas, hartlandvillas, shvillas, sobha villas, sobha hartland, sobha h, hartland v, shv hartland, sobha hartland villa, hartland villa, sobha h villas, sobha hartlandvillas, hartland-villas, shv-villas"
The Lakeshore Villas By Ellington,property,"District 11, Mohammed Bin Rashid City, Dubai","lakeshore, lakeshore villas, the lakeshore, d11 lakeshore, d11 lakeshore villas, mbrc lakeshore, mbrc lakeshore villas, lakeshore d11, lakeshore mbrc, ellington lakeshore, ellington lakeshore villas, lakeshorevillas, lakeshorevillasd11, lakeshore villas d11, lks villas, lks shore, lakeshore villa, lakeshore villass, lakeshor villas, lakeshore vills, lkeshore, lakeshoree, d11 lakeshor, mbr city lakeshore, ellington lakeshore d11"
